depmap_id,CCLEName,OncotreeLineage,OncotreePrimaryDisease,TP53_refined_status,any_TP53_LoF_high_impact,RTR_score_combined_rank_0_1,combined_RTR_quadrant,secondary_repair_preservation,secondary_repair_preservation_rank,secondary_removal_vulnerability,secondary_removal_vulnerability_rank,primary_repair_preservation,primary_repair_preservation_rank,primary_removal_vulnerability,primary_removal_vulnerability_rank,combined_repair_preservation_rank,combined_removal_vulnerability_rank,secondary_any_repair_median_auc,secondary_removal_median_auc,primary_any_repair_median_logfc,primary_removal_median_logfc,secondary_RTR_delta_any_repair_minus_removal,primary_RTR_delta_any_repair_minus_removal,RTR_score_formula_note,RTR_high_removal_high_quadrant_combined,RTR_high_top20pct,RTR_low_bottom20pct
ACH-000496,NCIH1792_LUNG,Lung,Non-Small Cell Lung Cancer,TP53 LoF/high-impact,True,0.918468858131488,repair-high / removal-high,1.03136519368486,0.7083333333333334,0.2780468417739294,0.9666666666666668,0.1780950666025,0.980968858131488,0.632831861458,0.856401384083045,0.8446510957324107,0.9115340253748558,1.03136519368486,0.7219531582260705,0.1780950666025,-0.632831861458,0.3094120354587895,0.8109269280604999,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-001099,KD_SOFT_TISSUE,Soft Tissue,Rhabdoid Cancer,TP53 mutation-not-called,False,0.916955017301038,repair-low / removal-high,,,,,-0.0916803478959,0.1955017301038062,0.7756625289029999,0.9429065743944636,0.1955017301038062,0.9429065743944636,,,-0.0916803478959,-0.7756625289029999,,0.6839821810071,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000669,SW900_LUNG,Lung,Non-Small Cell Lung Cancer,TP53 LoF/high-impact,True,0.9156826701268744,repair-high / removal-high,1.23047977349896,0.9666666666666668,0.1641100423360779,0.23125,0.0386215427243,0.740484429065744,0.575947644756,0.7941176470588235,0.8535755478662053,0.5126838235294118,1.23047977349896,0.835889957663922,0.0386215427243,-0.575947644756,0.394589815835038,0.6145691874803,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000052,A673_BONE,Bone,Ewing Sarcoma,TP53 LoF/high-impact,True,0.9118656286043828,repair-high / removal-high,1.05885584079091,0.76875,0.240322643658071,0.8625,0.0100328088280049,0.6366782006920415,0.808764904803,0.9515570934256056,0.7027141003460208,0.9070285467128028,1.05885584079091,0.759677356341929,0.0100328088280049,-0.808764904803,0.2991784844489811,0.818797713631005,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000054,HT1080_SOFT_TISSUE,Soft Tissue,Fibrosarcoma,TP53 mutation-not-called,False,0.9109645328719724,repair-high / removal-high,1.05381828377032,0.75625,0.2276355658410179,0.8104166666666667,0.09666365703175,0.8927335640138409,0.793340772886,0.9480968858131488,0.8244917820069204,0.8792567762399077,1.05381828377032,0.772364434158982,0.09666365703175,-0.793340772886,0.281453849611338,0.8900044299177501,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000213,HUPT4_PANCREAS,Pancreas,Pancreatic Adenocarcinoma,TP53 LoF/high-impact,True,0.9048442906574394,repair-low / removal-high,,,,,-0.0901462721401,0.2041522491349481,0.748474673396,0.9290657439446368,0.2041522491349481,0.9290657439446368,,,-0.0901462721401,-0.748474673396,,0.6583284012559001,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000010_FAILED_STR,,,,TP53 mutation-not-called,False,0.903114186851211,repair-low / removal-high,,,,,-0.161625421134,0.0415224913494809,0.815927918221,0.953287197231834,0.0415224913494809,0.953287197231834,,,-0.161625421134,-0.815927918221,,0.654302497087,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,False,True,False
ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,Peripheral Nervous System,Neuroblastoma,TP53 mutation-not-called,False,0.8979238754325259,repair-high / removal-high,,,,,0.1185825050355,0.9377162629757786,0.5297206764619999,0.726643598615917,0.9377162629757786,0.726643598615917,,,0.1185825050355,-0.5297206764619999,,0.6483031814975,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-001210,TTC1240_SOFT_TISSUE,Kidney,Rhabdoid Cancer,TP53 mutation-not-called,False,0.8961937716262975,repair-high / removal-high,,,,,0.0658834158932,0.8304498269896193,0.578981717161,0.801038062283737,0.8304498269896193,0.801038062283737,,,0.0658834158932,-0.578981717161,,0.6448651330542,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000147,T47D_BREAST,Breast,Invasive Breast Carcinoma,TP53 LoF/high-impact,True,0.8953251153402537,repair-high / removal-high,1.12332705230241,0.8729166666666667,0.202676532297087,0.5979166666666667,0.0432512250266,0.7612456747404844,0.5917488327685001,0.8079584775086506,0.8170811707035756,0.7029375720876586,1.12332705230241,0.797323467702913,0.0432512250266,-0.5917488327685001,0.3260035845994969,0.6350000577951,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000848,JHH7_LIVER,Liver,Hepatocellular Carcinoma,TP53 hotspot,False,0.8935085063437139,repair-high / removal-high,1.13164926526836,0.88125,0.2381968731793998,0.85625,-0.0702580559285,0.2889273356401384,0.668524603762,0.8875432525951558,0.5850886678200692,0.8718966262975778,1.13164926526836,0.7618031268206001,-0.0702580559285,-0.668524603762,0.3698461384477599,0.5982665478335,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
ACH-000139,PANC0327_PANCREAS,Pancreas,Pancreatic Adenocarcinoma,TP53 mutation-not-called,False,0.8910863610149942,repair-high / removal-high,1.035029448643,0.7145833333333333,0.2574245476313017,0.925,0.0589226800066,0.8027681660899654,0.681202932072,0.8961937716262975,0.7586757497116494,0.9105968858131488,1.035029448643,0.7425754523686983,0.0589226800066,-0.681202932072,0.2924539962743016,0.7401256120786,mean percentile-rank of secondary/primary repair-minus-removal deltas; decomposed into preservation and vulnerability ranks here,True,True,False
