comparison,gene,axis_membership,n_pos,n_neg,median_dep_pos,median_dep_neg,delta,mw_auc,p,FDR_within_comparison
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BRCA2,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,0.5517258227554931,0.506843643290462,0.044882179465031036,0.5682825484764543,0.055938450825935446,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BUB1,microtubule_spindle,80,361,0.6484085725777542,0.6702029835085237,-0.021794410930769503,0.48549168975069246,0.6849140604762259,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,BUB1B,microtubule_spindle,80,361,1.243559147033356,1.2253887581620984,0.01817038887125766,0.5048476454293629,0.8924098263452543,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CAD,nucleotide_antifolate,80,361,0.3281543710377042,0.3466147722259947,-0.01846040118829051,0.5172783933518005,0.6288596216456663,0.9677683110516547
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CASP3,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.07812754939708755,-0.0692214591699536,-0.008906090227133942,0.47849722991689747,0.5474267305779942,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CASP8,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,-0.046599766214701605,-0.0695354087419547,0.022935642527253094,0.5274238227146814,0.4428332066826707,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CCNB1,microtubule_spindle,80,361,0.7319047011038392,0.7194449697203323,0.012459731383506867,0.49508310249307486,0.8908769002369604,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CCNB2,microtubule_spindle,80,361,0.0246599363948821,0.0036958493609334,0.0209640870339487,0.5463296398891967,0.19469828139254264,0.6476616163225754
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CCND1,prior_cell_cycle_checkpoint,80,361,1.2705494939675144,1.3260937252740177,-0.05554423130650332,0.4639196675900278,0.3125857699203335,0.8354169228829426
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDC20,microtubule_spindle,80,361,2.0969579513882843,2.125345443044516,-0.028387491656231667,0.5005540166204986,0.9880095272605436,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDK1,microtubule_spindle;mitotic_kinase_PLK_AUR,80,361,2.6398795755231266,2.6724440654614288,-0.03256448993830219,0.506371191135734,0.8587883156573268,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDK4,prior_cell_cycle_checkpoint,80,361,0.5999163316607334,0.5845777919214796,0.01533853973925381,0.48026315789473684,0.5808303053093047,0.9390089935833759
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDK6,prior_cell_cycle_checkpoint,80,361,0.5597819489041911,0.5272133019702517,0.03256864693393935,0.4744806094182825,0.4751708237986485,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDKN1A,prior_p53_decision,80,361,-0.18842518863186525,-0.207042682886302,0.01861749425443676,0.5432479224376731,0.22608212385703086,0.6853114379416249
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CDKN2A,prior_cell_cycle_checkpoint,80,361,-0.1504806773132697,-0.1473975624898015,-0.003083114823468208,0.5035318559556786,0.921605348156219,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CENPE,microtubule_spindle,80,361,0.6823965549761464,0.6646699756800278,0.01772657929611854,0.5046052631578947,0.8977781971679968,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CHEK1,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,1.6602575216175848,1.7426566700312056,-0.08239914841362084,0.47337257617728534,0.4562006883449239,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,CHEK2,DDR_CHK_ATR;prior_DDR_checkpoint,80,361,-0.1900587388899636,-0.2149145783592192,0.024855839469255597,0.5513504155124654,0.1506062905129487,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,DCK,nucleotide_antifolate,80,361,-0.007613910473362399,0.0027653156263633,-0.0103792260997257,0.4971606648199446,0.9370165013058723,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,DHFR,nucleotide_antifolate,75,334,0.6645659470408487,0.7270606233916205,-0.06249467635077177,0.4674251497005988,0.37805112122091045,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,GART,nucleotide_antifolate,80,361,0.2610023811317036,0.2692591827819945,-0.008256801650290913,0.5110803324099722,0.7567291399229265,0.9901673242127602
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,GCLC,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.028821088312030202,0.0103172252601718,0.018503863051858402,0.5311634349030471,0.3831365462015659,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,GPX4,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.4914917615879173,0.4764687447944229,0.015023016793494381,0.4984072022160665,0.9648122497696024,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSF1,HSP_proteostasis,80,361,0.49572808634846655,0.4929094964829019,0.002818589865564658,0.4958448753462604,0.9077602678026553,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSP90AA1,HSP_proteostasis,80,361,0.16914335732122146,0.1859178653902384,-0.016774508069016952,0.47693905817174514,0.5187642835518954,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSP90AB1,HSP_proteostasis,80,361,0.22058207327749055,0.1774829347147828,0.04309913856270775,0.5664127423822715,0.0630047662468357,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPA5,HSP_proteostasis,80,361,1.1164682601304414,1.202182037881442,-0.08571377775100064,0.46132271468144037,0.2790174460570838,0.7960203608099156
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPA8,HSP_proteostasis,80,361,0.49033080751682623,0.4930845007188782,-0.0027536932020519878,0.5002770083102492,0.9941979910917492,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPB1,HSP_proteostasis,80,361,-0.047677129677661995,-0.0245239104922307,-0.023153219185431295,0.43268698060941824,0.05951538038354442,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,HSPH1,HSP_proteostasis,80,361,0.03382243859735345,0.019454958764093,0.01436747983326045,0.5525623268698061,0.14120234866813336,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,IMPDH1,nucleotide_antifolate,80,361,0.2015576704749227,0.2110400644268908,-0.009482393951968093,0.5003462603878116,0.9926508278656095,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,IMPDH2,nucleotide_antifolate,80,361,0.47958163698396133,0.4981926659913873,-0.01861102900742595,0.44605263157894737,0.13101503380635007,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KEAP1,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.12055758094423319,0.1448128367911666,-0.024255255846933416,0.44650277008310246,0.13426143450209616,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF11,KIF11_control;microtubule_spindle,80,361,2.9087533696354333,2.875925418470119,0.03282795116531423,0.5242036011080332,0.49824903977447776,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF20A,microtubule_spindle,80,361,0.4533961823913814,0.4914979845543548,-0.038101802162973375,0.45114265927977837,0.17144235389009954,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KIF2C,microtubule_spindle,80,361,0.3012875834817448,0.3113462433692651,-0.010058659887520305,0.5006578947368422,0.9856890193021134,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,KRAS,prior_oncogenic_context,80,361,0.490440476679046,0.5476513184941317,-0.05721084181508573,0.4357686980609419,0.07216517006221783,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MAD2L1,microtubule_spindle,80,361,1.3666322762222696,1.3459397691152355,0.020692507107034075,0.5488573407202216,0.17144235389009954,0.5939252974049878
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MCL1,apoptosis_MCL1_BCL;prior_apoptosis_core,80,361,0.617545114261019,0.5211564001823838,0.09638871407863514,0.5223337950138505,0.532043028573613,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MDM2,prior_p53_decision,80,361,0.3790651633189579,0.4294117376814893,-0.05034657436253143,0.42382271468144045,0.03295938561261806,0.5384631920027023
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MDM4,prior_p53_decision,80,361,0.0533034272751556,0.0413240745759651,0.011979352699190503,0.493005540166205,0.8451039809805548,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MTOR,AKT_PI3K_survival,80,361,1.3288377454868558,1.2560580102201324,0.07277973526672343,0.5273891966759003,0.4434097048888137,0.9000066587468719
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MYC,prior_oncogenic_context,80,361,2.0056317867162123,2.1328300621641545,-0.12719827544794216,0.4393351800554016,0.08946839822189233,0.5446238573836882
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,MYCN,prior_oncogenic_context,80,361,0.08217755771589061,0.0902900097173743,-0.008112452001483694,0.5026315789473684,0.94164471784503,0.9941979910917492
RTR_high_removal_high_vs_other_no_Bone_SoftTissue,NFE2L2,oxidative_stress_NRF2;prior_oxidative_stress,80,361,0.2050109461627937,0.2341390027219615,-0.02912805655916781,0.48185595567867034,0.6117535937959215,0.9677683110516547
