drug_key,name,moa,target,eqcl_group,strict_repair,broad_repair,cytotoxic,n_cell_lines,median_logfc,mean_logfc,frac_logfc_ge0,frac_logfc_lt_minus1,frac_logfc_lt_minus05,primary_survival_preservation_score
BRD-K89072800-001-01-8,2-TEDC,lipoxygenase inhibitor,ALOX12,broad repair/protective,False,True,False,565,0.305442687308,0.2869453094858857,0.8106194690265487,0.007079646017699115,0.03716814159292035,0.7054426873080001
BRD-K89085489-001-23-2,fenretinide,"apoptosis stimulant, retinoid receptor agonist",RARA,cytotoxic/removal-like,False,False,True,548,0.016793570576799997,-0.06847321003287701,0.5200729927007299,0.04562043795620438,0.145985401459854,0.24261473846001166
BRD-K89104321-003-14-8,gaboxadol,benzodiazepine receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRD, GABRR1, GABRR2, GABRR3",other,False,False,False,569,0.213748729708,0.22535895560491576,0.7750439367311072,0.0017574692442882249,0.012302284710017574,0.5999525961403375
BRD-K89121095-001-01-7,tedizolid-phosphate,protein synthesis inhibitor,,other,False,False,False,548,-0.05891949895835,-0.1546451263009271,0.4708029197080292,0.1259124087591241,0.2718978102189781,0.08204765432632152
BRD-K89125793-001-26-0,tinidazole,antiprotozoal agent,,other,False,False,False,570,-0.049495265237699995,-0.046950120256122774,0.4280701754385965,0.0035087719298245615,0.09649122807017543,0.16190824353422983
BRD-K89152108-236-07-6,liothyronine,thyroid hormone stimulant,"THRA, THRB",other,False,False,False,526,0.00567010218944,-0.03144755944893831,0.5057034220532319,0.024714828897338403,0.15399239543726237,0.23998569154305213
BRD-K89162000-001-06-4,tandutinib,"FLT3 inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor","CSF1R, FLT3, KIT, PDGFD, PDGFRB",other,False,False,False,571,0.123426774575,0.07873342418441036,0.6199649737302977,0.024518388791593695,0.07005253940455342,0.4150204698464536
BRD-K89208535-051-01-5,indacaterol,adrenergic receptor agonist,"ADRB1, ADRB2",other,False,False,False,571,0.0361810277569,0.01952996645961127,0.553415061295972,0.014010507880910683,0.07180385288966724,0.302380677494203
BRD-K89210380-001-13-7,biotin,vitamin B,"ACACA, ACACB, HLCS, MCCC1, MCCC2, PC, PCCA, PCCB, SLC5A6",other,False,False,False,556,-0.07160770849475001,-0.07745925122027267,0.42985611510791366,0.014388489208633094,0.13309352517985612,0.132528982152732
BRD-K89272762-001-12-7,NPPB,chloride channel blocker,"ANO1, CLCN2, CLCN7, TRPA1",other,False,False,False,574,-0.558696540297,-0.559780797522968,0.06968641114982578,0.11672473867595819,0.5644599303135889,-0.6113968887290557
BRD-K89272869-003-01-8,nalfurafine,opioid receptor agonist,"OPRK1, OPRM1",other,False,False,False,548,0.046687734035799996,0.05071658823149127,0.5602189781021898,0.0,0.032846715328467155,0.3267972230868949
BRD-K89274813-001-02-3,DMP-543,acetylcholine release enhancer,,other,False,False,False,571,0.141038561099,0.1428883534763096,0.6637478108581436,0.0017513134851138354,0.03677758318739054,0.47159898141423645
BRD-K89299012-001-06-0,DCEBIO,potassium channel activator,"KCNN2, KCNN3, KCNN4",other,False,False,False,563,0.0226989282778,-0.10894415859253795,0.5328596802841918,0.0852575488454707,0.18294849023090587,0.2251856067857929
BRD-K89306950-001-12-5,ML130,NOD1 inhibitor,,other,False,False,False,574,-0.3788586407105,-0.402117078436698,0.15853658536585366,0.09930313588850175,0.37456445993031356,-0.3740676999439495
BRD-K89348303-001-14-7,ramipril,angiotensin converting enzyme inhibitor,ACE,other,False,False,False,571,0.108290058839,0.08347995589441505,0.6357267950963222,0.008756567425569177,0.040280210157618214,0.41958603081798423
BRD-K89375097-300-08-8,pirenzepine,acetylcholine receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4, CHRM5",other,False,False,False,571,-0.0770235476096,-0.09295600128825099,0.4413309982486865,0.028021015761821366,0.16112084063047286,0.12262618969337721
BRD-K89391146-001-08-0,RG108,DNA methyltransferase inhibitor,"DNMT1, DNMT3B",other,False,False,False,549,-0.363403287541,-0.36813009709549877,0.18214936247723132,0.08014571948998178,0.34790528233151186,-0.33243789591987066
BRD-K89402695-001-02-3,L-655240,thromboxane receptor antagonist,PTGES,other,False,False,False,568,-0.148131481046,-0.15473481146417722,0.33274647887323944,0.007042253521126761,0.13556338028169015,0.012960068249774657
BRD-K89413285-074-01-5,remimazolam,benzodiazepine receptor agonist,GABBR1,other,False,False,False,547,0.0701837036397,0.06760841297310234,0.6160877513711152,0.0018281535648994515,0.029250457038391225,0.37685646415158297
BRD-K89490285-001-08-1,bentazepam,benzodiazepine receptor agonist,,other,False,False,False,548,-0.05963443380425,-0.08744748298825625,0.43795620437956206,0.029197080291970802,0.15145985401459855,0.13744585816655294
BRD-K89561498-001-01-7,SN-38,topoisomerase inhibitor,TOP1,cytotoxic/removal-like,False,False,True,569,-3.72963875304,-3.7160985175010683,0.0,0.9929701230228472,1.0,-4.474366345307136
BRD-K89588135-001-01-9,tagatose,phosphorylase inhibitor,PYGL,other,False,False,False,563,0.00500900490839,-0.004985633891422566,0.5044404973357016,0.010657193605683837,0.0852575488454707,0.24923635837197794
BRD-K89634775-001-09-9,allylthiourea,nitrification inhibitor,,other,False,False,False,570,-0.1354339953435,-0.16442825356531182,0.34912280701754383,0.028070175438596492,0.19298245614035087,0.01807477658632454
BRD-K89657519-001-01-8,testosterone-enanthate,androgen receptor agonist,AR,other,False,False,False,565,-0.0525828042967,-0.059062479065990506,0.4336283185840708,0.01592920353982301,0.10442477876106195,0.15228445234046814
BRD-K89665618-003-02-5,1-deoxymannojirimycin,alpha mannosidase inhibitor,MAN2A1,other,False,False,False,563,-0.434217240303,-0.4572583150370394,0.15097690941385436,0.11367673179396093,0.433392539964476,-0.44398633444154356
BRD-K89704198-001-12-3,vincamine,adrenergic receptor antagonist,"CHRM1, CHRM2, CHRM3, CHRM4",other,False,False,False,569,-0.0699790799213,-0.07490777770275038,0.3936731107205624,0.0035149384885764497,0.0843585237258348,0.12422127157254885
BRD-K89712525-001-02-1,2-oxoglutaric-acid,,OXGR1,other,False,False,False,536,-0.046480391838349996,-0.05036007335803767,0.44776119402985076,0.005597014925373134,0.10634328358208955,0.17320244398254556
BRD-K89714990-001-01-5,tepoxalin,"cyclooxygenase inhibitor, lipoxygenase inhibitor",ALOX5,broad repair/protective,False,True,False,570,-0.0585391230098,-0.10791581292306554,0.45964912280701753,0.056140350877192984,0.17894736842105263,0.12918017523581404
BRD-K89732114-300-14-7,trifluoperazine,dopamine receptor antagonist,"ADRA1A, CALM1, CALY, DRD2, DRD4, HRH1, HTR2A, HTR2C, S100A4, TNNC1",other,False,False,False,565,0.108721696035,0.11151895526525764,0.631858407079646,0.0035398230088495575,0.061946902654867256,0.42199603231818583
BRD-K89839824-001-05-3,raltitrexed,thymidylate synthase inhibitor,"FPGS, TYMS",other,False,False,False,565,-0.114749129908,-0.17600136484380016,0.431858407079646,0.15575221238938053,0.32035398230088497,-0.01563408566021239
BRD-K89917372-001-01-2,retigabine,potassium channel activator,"KCNQ1, KCNQ2, KCNQ3, KCNQ4, KCNQ5",other,False,False,False,570,0.125739912402,0.12177806074078516,0.6368421052631579,0.0035087719298245615,0.04912280701754386,0.4415293860862105
BRD-K89920762-001-01-4,paritaprevir,HCV inhibitor,,other,False,False,False,548,0.08389570260775,0.08479288013981984,0.6186131386861314,0.0,0.020072992700729927,0.3932022719508157
