broad_id,name,moa,target,axis_membership,n_datasets,n_positive_delta,n_FDR_lt_0_05,median_delta,median_mw_auc,min_FDR
BRD-K81473043-001-14-6,tanespimycin,HSP inhibitor,HSP90AA1,HSP90_proteostasis,4,4,2,0.3908674109024999,0.5895973492470853,0.0022209116544171
BRD-K99498722-001-02-6,plinabulin,tubulin polymerization inhibitor,,microtubule_tubulin,4,4,2,0.3272830669625001,0.5893889449771084,0.00046750754809331973
BRD-K06814349-304-01-9,fosbretabulin,"tubulin polymerization inhibitor, VE-cadherin antagonist",CDH5,microtubule_tubulin,4,4,2,0.4148235070299999,0.5893673173974955,0.0005835610335951
BRD-K24576554-001-04-8,AT-9283,"Aurora kinase inhibitor, JAK inhibitor","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A",PLK_Aurora_mitotic_kinase,4,4,2,0.3700457697949999,0.5880929008931788,0.0143056614010707
BRD-K61734568-003-02-1,"2,3-DCPE",Bcl-XL downregulator,BCL2L1,apoptosis_IAP_BCL_MCL,4,4,2,0.252443389804925,0.5865948529103193,0.0044129186914972
BRD-K29905972-001-06-3,axitinib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor","CSF1, FLT1, FLT4, KDR, PLK4",PLK_Aurora_mitotic_kinase,4,4,2,0.21616724433576628,0.5852610611493358,0.0202936108644272
BRD-K04701033-001-03-9,VE-822,ATR kinase inhibitor,"ATM, ATR, MTOR, PIK3CG",AKT_PI3K_mTOR_survival;DDR_ATR_CHK_WEE_PARP,3,2,2,0.048281956322941966,0.5848753280839895,0.00014352571879623768
BRD-K61195623-001-01-4,combretastatin-A-4,tubulin polymerization inhibitor,,microtubule_tubulin,4,4,2,0.3091152556275003,0.5846234045242007,0.0009357004274854662
BRD-A67748489-001-10-0,K-858,kinesin-like spindle protein inhibitor,KIF11,KIF11_kinesin,4,4,2,0.14484243794750007,0.5814347394110004,0.0018463260372533
BRD-K74671368-001-01-8,idronoxil,XIAP inhibitor,"ENOX2, SPHK1",apoptosis_IAP_BCL_MCL,4,4,2,0.12842728321164998,0.5813270800802643,0.0003732164716837
BRD-K71512533-066-02-8,SNS-314,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",PLK_Aurora_mitotic_kinase,4,4,2,0.29484189838749997,0.5811471566848154,0.0271360749835141
BRD-K69776681-001-03-8,volasertib,PLK inhibitor,PLK1,PLK_Aurora_mitotic_kinase,4,3,2,0.22752117297072583,0.5805299693455399,0.00018202513023987053
BRD-K13049116-001-05-7,BMS-754807,IGF-1 inhibitor,"AKT1, IGF1R",AKT_PI3K_mTOR_survival,4,4,2,0.30353378136750003,0.577061345646438,0.006647632622942239
BRD-K58529924-001-01-5,ONC201,"AKT inhibitor, MAP kinase inhibitor",TNFSF10,AKT_PI3K_mTOR_survival,4,4,2,0.11748952004050003,0.5766206995655285,0.0048761571039974
BRD-K90497590-001-04-2,AR-12,phosphoinositide dependent kinase inhibitor,PDPK1,AKT_PI3K_mTOR_survival,4,4,2,0.1768767995555,0.5760155535174614,0.0010730660416249
BRD-K36529613-001-02-6,PU-H71,HSP inhibitor,HSP90AA1,HSP90_proteostasis,4,4,2,0.080401698705,0.5742558756823833,0.000291300176199
BRD-K72703948-001-10-1,ZM-447439,Aurora kinase inhibitor,"AURKA, AURKB",PLK_Aurora_mitotic_kinase,4,4,2,0.18437588783750003,0.5734634213343297,0.0017334184409121
BRD-K53561341-001-07-5,aurora-a-inhibitor-i,Aurora kinase inhibitor,AURKA,PLK_Aurora_mitotic_kinase,4,4,2,0.11765114020405573,0.5734396507963311,0.030413853560875115
BRD-K83699324-001-01-1,NMS-1286937,PLK inhibitor,"FLT3, PLK1, PLK2, PLK3",PLK_Aurora_mitotic_kinase,4,4,2,0.17086327199499982,0.5697792649405553,0.0006632725753805038
BRD-K71281111-001-04-3,SNX-2112,HSP inhibitor,,HSP90_proteostasis,4,4,2,0.22634124852749982,0.5683023461351178,0.0051190237274726
BRD-K11636097-001-03-1,JNJ-7706621,CDK inhibitor,"AURKA, AURKB, CDK1, CDK2",PLK_Aurora_mitotic_kinase,4,4,2,0.18626102333999955,0.5664665783075844,0.037464565147165174
BRD-K84937637-001-09-9,sirolimus,mTOR inhibitor,"FGF2, FKBP1A, MTOR",AKT_PI3K_mTOR_survival,4,3,2,0.16128417954499996,0.5646036387264457,0.006995986684834118
BRD-K18787491-001-08-6,U-0126,MEK inhibitor,"AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1",AKT_PI3K_mTOR_survival;DDR_ATR_CHK_WEE_PARP,4,0,2,-0.07149691161700002,0.43529046582456377,0.02338281616809852
BRD-K37379014-001-02-0,filanesib,"kinesin inhibitor, kinesin-like spindle protein inhibitor",KIF11,KIF11_kinesin,1,1,1,0.08722027984349068,0.6646898937484556,0.00015076512212562049
BRD-K62008436-001-23-9,paclitaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1",apoptosis_IAP_BCL_MCL;microtubule_tubulin,1,1,1,0.1227294908528086,0.6516689176152807,0.00038467789020734907
BRD-K30577245-001-05-0,docetaxel,tubulin polymerization inhibitor,"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1",apoptosis_IAP_BCL_MCL;microtubule_tubulin,1,1,1,0.11008816768940655,0.6297339593114241,0.002134943818909656
BRD-K73197500-001-02-2,SNX-5422,HSP inhibitor,HSP90AA1,HSP90_proteostasis,4,4,1,0.2869903680574999,0.5789188701563902,0.0431735427034516
BRD-K64890080-001-13-8,BI-2536,PLK inhibitor,"BRD4, PLK1, PLK2, PLK3",PLK_Aurora_mitotic_kinase,4,4,1,0.40053090468499997,0.5780201067557389,0.0026758359401505066
BRD-K83988098-001-02-0,alvespimycin,HSP inhibitor,HSP90AA1,HSP90_proteostasis,2,2,1,0.13816274011283186,0.57752387235631,0.012759371843064672
BRD-K71221037-001-01-6,birinapant,XIAP inhibitor,"BIRC2, XIAP",apoptosis_IAP_BCL_MCL,4,4,1,0.18273889776475002,0.5753689024541737,0.0451424619406634
BRD-K09443272-001-03-3,PHA-680632,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",PLK_Aurora_mitotic_kinase,4,4,1,0.23902829196099984,0.5737843378921643,0.009429351176687525
BRD-K82746043-001-19-3,navitoclax,BCL inhibitor,"BCL2, BCL2L1, BCL2L2",apoptosis_IAP_BCL_MCL,3,3,1,0.17352959056959616,0.5701187307221025,0.0009666484035421314
BRD-K02113016-001-15-4,olaparib,PARP inhibitor,"PARP1, PARP2",DDR_ATR_CHK_WEE_PARP,4,4,1,0.05276363675328252,0.5669223366902515,0.0003197331162159
BRD-K26756394-001-02-2,VE-821,ATR kinase inhibitor,ATR,DDR_ATR_CHK_WEE_PARP,4,4,1,0.102525209825575,0.5667931161019066,0.018785486455582142
BRD-K86525559-001-07-8,AZD7762,CHK inhibitor,"CHEK1, CHEK2",DDR_ATR_CHK_WEE_PARP,2,1,1,-0.04196411171267789,0.561571219445227,0.0024586839185071134
BRD-K85014146-001-02-5,AZD2461,PARP inhibitor,,DDR_ATR_CHK_WEE_PARP,4,4,1,0.10670462276949995,0.5607577775332013,0.0387992783429075
BRD-K88510285-001-17-8,bortezomib,"NFkB pathway inhibitor, proteasome inhibitor","PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA",proteasome,2,1,1,0.020909892287642128,0.5594570605684223,0.001888590328002275
BRD-K36740062-001-06-6,GSK1070916,Aurora kinase inhibitor,"AURKA, AURKB, AURKC, CYP2D6, CYP3A4",PLK_Aurora_mitotic_kinase,4,2,1,0.010772904900545848,0.5584137207005482,0.017214929757196167
BRD-K48488978-001-05-3,YM-201636,PI3K inhibitor,,AKT_PI3K_mTOR_survival,4,4,1,0.15043128515999998,0.5547735516288976,0.048792382073847236
BRD-K07955840-001-02-3,PF-05212384,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA",AKT_PI3K_mTOR_survival,4,4,1,0.15193894747749992,0.5540637712235579,0.0063061310202604
BRD-K42495768-001-01-7,tasisulam,apoptosis stimulant,,apoptosis_IAP_BCL_MCL,4,4,1,0.08630992945992749,0.5476424698094283,0.0239127789312797
BRD-A66419424-001-02-4,ixazomib-citrate,proteasome inhibitor,,proteasome,4,3,1,0.03657272129260826,0.5426040997071637,0.02620785943173117
BRD-K68174511-001-06-6,torin-2,mTOR inhibitor,MTOR,AKT_PI3K_mTOR_survival,4,3,1,0.08796334227318543,0.5391712605873998,0.0234454855056442
BRD-K68065987-300-09-1,MK-2206,AKT inhibitor,"AKT1, AKT2, AKT3",AKT_PI3K_mTOR_survival,4,2,1,0.052777446388601795,0.5380162978292065,0.0215506929051854
BRD-K79612754-001-19-1,inosine,neurotrophic agent,"PARP1, PNP",DDR_ATR_CHK_WEE_PARP,2,1,1,0.11659505525711994,0.5370152345200429,0.022610287245728767
BRD-K62391742-001-03-0,venetoclax,BCL inhibitor,BCL2,apoptosis_IAP_BCL_MCL,4,2,1,0.023136915424159993,0.5345449938152194,0.0240646617452358
BRD-K21718444-001-06-8,KW-2449,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor","ABL1, AURKA, AURKB, FLT3",PLK_Aurora_mitotic_kinase,4,4,1,0.1452396755899999,0.5310270692856445,0.013047682372067536
BRD-K92991072-001-04-9,PAC-1,caspase activator,CASP3,apoptosis_IAP_BCL_MCL,4,4,1,0.034791622820749955,0.5289290873953995,0.0364732893455257
BRD-A06352508-001-03-7,SB-218078,CHK inhibitor,CHEK1,DDR_ATR_CHK_WEE_PARP,4,3,1,0.08988628329249984,0.5195850300562342,0.00835803695755976
BRD-K50168500-001-07-9,canertinib,EGFR inhibitor,"AKT1, EGFR, ERBB2, ERBB4",AKT_PI3K_mTOR_survival,4,3,1,0.06566396272156245,0.5176890435067862,0.0215506929051854
BRD-K64866502-001-03-9,CYC116,Aurora kinase inhibitor,"AURKA, AURKB, KDR",PLK_Aurora_mitotic_kinase,4,1,1,-0.044122904837384465,0.49871677721286933,0.03611299967586951
BRD-K60446698-001-01-2,ONX-0914,proteasome inhibitor,,proteasome,4,2,1,-0.008795512263510219,0.4948844767727084,0.0462115840324666
BRD-K11433652-001-17-0,aspirin,cyclooxygenase inhibitor,"AKR1C1, ASIC3, EDNRA, HSPA5, IKBKB, NFKB1, NFKB2, NFKBIA, PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3, PTGS1, PTGS2, RPS6KA3, TP53",HSP90_proteostasis,4,1,1,-0.009285737415072715,0.48431834598567547,0.0311593266329705
BRD-A70083328-001-23-5,secnidazole,"acetylcholinesterase inhibitor, microtubule inhibitor",,microtubule_tubulin,4,0,1,-0.05451125832081677,0.4696995934679391,0.03860809272466587
BRD-K15600710-066-05-8,obatoclax,BCL inhibitor,BCL2,apoptosis_IAP_BCL_MCL,1,1,0,0.0321253052447843,0.5701663201663202,0.12143246379874272
