group,within_group_rank_after_Bone_SoftTissue_exclusion,depmap_id,cell_line,lineage,Sex,RTR_score_combined_rank_0_1,XIAP_gene_effect,XIAP_dependency_score
top,31,ACH-000133,HS729_SOFT_TISSUE,Fibroblast,Male,0.8836541234140716,-0.11688542602129065,0.11688542602129065
top,32,ACH-000378,NCIH647_LUNG,Lung,Male,0.8823529411764706,-0.1998030277365974,0.1998030277365974
top,33,ACH-000356,MKN45_STOMACH,Esophagus/Stomach,Female,0.8792387543252596,0.045674036809485084,-0.045674036809485084
top,34,ACH-000849,MDAMB468_BREAST,Breast,Female,0.8756379757785466,0.0359138218520761,-0.0359138218520761
top,35,ACH-000803,COLO668_LUNG,Lung,Female,0.8749891868512111,,
top,36,ACH-000685,L33_PANCREAS,Pancreas,Female,0.8723039215686275,0.03764644746293252,-0.03764644746293252
top,37,ACH-000255,LMSU_STOMACH,Esophagus/Stomach,Female,0.8625180219146482,-0.01190882005217558,0.01190882005217558
top,38,ACH-000407,SNU685_ENDOMETRIUM,Uterus,Female,0.8622549019607844,-0.004160724097296734,0.004160724097296734
top,39,ACH-000242,RT4_URINARY_TRACT,Bladder/Urinary Tract,Male,0.8609140715109573,-0.1578437612137379,0.1578437612137379
top,40,ACH-000982,GP2D_LARGE_INTESTINE,Bowel,Female,0.8597282295271049,,
top,41,ACH-000946,HEC265_ENDOMETRIUM,Uterus,Female,0.8552443771626297,0.11738913836479095,-0.11738913836479095
top,42,ACH-000909,JHUEM2_ENDOMETRIUM,Uterus,Female,0.8550677623990772,,
top,43,ACH-000756,GI1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.8545919838523645,-0.0949817444457843,0.0949817444457843
top,44,ACH-000632,HS944T_SKIN,Skin,Male,0.8492106401384083,-0.14993787833787495,0.14993787833787495
top,45,ACH-000469,YH13_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.8487204440599769,-0.0317611892065763,0.0317611892065763
top,46,ACH-000973,639V_URINARY_TRACT,Bladder/Urinary Tract,Male,0.839637399077278,-0.11119337030981513,0.11119337030981513
top,47,ACH-000273,SF539_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Female,0.8333189158016148,-0.14325149636952944,0.14325149636952944
top,48,ACH-000847,HGC27_STOMACH,Esophagus/Stomach,Unknown,0.8317798442906574,0.029509292369582392,-0.029509292369582392
top,49,ACH-000415,BICR6_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.8314482410611304,-0.11242598655442407,0.11242598655442407
top,50,ACH-000276,HCC38_BREAST,Breast,Female,0.8310301326412919,0.05246871094532852,-0.05246871094532852
top,51,ACH-000040,U118MG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.8309400230680508,0.11368759205428922,-0.11368759205428922
top,52,ACH-000950,LOVO_LARGE_INTESTINE,Bowel,Male,0.8256451845444059,-0.006961198552024633,0.006961198552024633
top,53,ACH-000986,HT115_LARGE_INTESTINE,Bowel,Unknown,0.8217993079584776,-0.05265392676195205,0.05265392676195205
top,54,ACH-000511_FAILED_STR,,,Unknown,0.8183391003460208,,
top,55,ACH-000296,OUMS23_LARGE_INTESTINE,Bowel,Male,0.8171316320645905,0.011319058183542716,-0.011319058183542716
top,56,ACH-000736,SNU601_STOMACH,Esophagus/Stomach,Male,0.8158016147635525,-0.16771626328362615,0.16771626328362615
top,57,ACH-000186,NCIH2444_LUNG,Lung,Male,0.813447952710496,,
top,58,ACH-000366,SKNDZ_AUTONOMIC_GANGLIA,Peripheral Nervous System,Female,0.8131487889273357,0.05786707746984562,-0.05786707746984562
top,59,ACH-000096,G401_SOFT_TISSUE,Kidney,Male,0.811652970011534,0.061300326406837975,-0.061300326406837975
top,60,ACH-001318,PLCPRF5_LIVER,Liver,Male,0.8095227797001154,-0.06174027861751633,0.06174027861751633
top,61,ACH-000885,TOV21G_OVARY,Ovary/Fallopian Tube,Female,0.804909169550173,-0.08399117119660299,0.08399117119660299
top,62,ACH-000666,NCIH1355_LUNG,Lung,Male,0.8042856113033449,0.04074249344928652,-0.04074249344928652
top,63,ACH-000249,CL11_LARGE_INTESTINE,Bowel,Male,0.8027681660899654,-0.47492082576720174,0.47492082576720174
top,64,ACH-000264,CALU6_LUNG,Lung,Female,0.8012759515570935,-0.06953372741481532,0.06953372741481532
top,65,ACH-000481,NCIH2170_LUNG,Lung,Male,0.7947628316032296,-0.06318198677179407,0.06318198677179407
top,66,ACH-000713,CAOV3_OVARY,Ovary/Fallopian Tube,Female,0.7943807670126874,0.01841341031099225,-0.01841341031099225
top,67,ACH-000444,LU99_LUNG,Lung,Male,0.791774798154556,-0.011242291809292291,0.011242291809292291
top,68,ACH-000014,HS294T_SKIN,Skin,Male,0.7914395905420992,0.061789888378228706,-0.061789888378228706
top,69,ACH-000493,SNU423_LIVER,Liver,Male,0.7909998558246828,-0.055909440478823416,0.055909440478823416
top,70,ACH-000123,COV434_OVARY,Ovary/Fallopian Tube,Female,0.7886678200692041,-0.05337230382614769,0.05337230382614769
top,71,ACH-000503,BICR16_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.7876658016147635,-0.0931393192422803,0.0931393192422803
top,72,ACH-000062,RERFLCMS_LUNG,Lung,Male,0.7875072087658592,,
top,73,ACH-000701,RMUGS_OVARY,Ovary/Fallopian Tube,Female,0.7856076989619377,0.05108161393001261,-0.05108161393001261
top,74,ACH-000320,PSN1_PANCREAS,Pancreas,Male,0.7851427335640138,0.09644102730704568,-0.09644102730704568
top,75,ACH-000686,SNU878_LIVER,Liver,Female,0.7837370242214533,,
top,76,ACH-000958,SW48_LARGE_INTESTINE,Bowel,Female,0.7769643886966551,0.19287517464864917,-0.19287517464864917
top,77,ACH-000348,RPMI7951_SKIN,Skin,Female,0.7768166089965398,-0.51631440989761,0.51631440989761
top,78,ACH-000376,SF295_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Female,0.7757208765859285,-0.02720621727998272,0.02720621727998272
top,79,ACH-000694,TE9_OESOPHAGUS,Esophagus/Stomach,Male,0.7752378892733565,-0.021259563969469014,0.021259563969469014
top,80,ACH-000116,OAW28_OVARY,Ovary/Fallopian Tube,Female,0.7750865051903114,-0.08016333514488626,0.08016333514488626
top,81,ACH-000873,KYSE270_OESOPHAGUS,Esophagus/Stomach,Male,0.7696402825836217,-0.207608550536527,0.207608550536527
top,82,ACH-000558,A172_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.7695429642445213,0.10459922093084803,-0.10459922093084803
top,83,ACH-000974,SNGM_ENDOMETRIUM,Uterus,Female,0.7693987889273357,-0.03429214373742457,0.03429214373742457
top,84,ACH-000237,JHOM1_OVARY,Ovary/Fallopian Tube,Female,0.7672685986159169,-0.08640736093984014,0.08640736093984014
top,85,ACH-000900,NCIH23_LUNG,Lung,Male,0.7657403402537486,0.0928036700015741,-0.0928036700015741
top,86,ACH-000720,TCCSUP_URINARY_TRACT,Bladder/Urinary Tract,Female,0.7629757785467128,0.0199981317908772,-0.0199981317908772
top,87,ACH-000614,RVH421_SKIN,Skin,Male,0.7622404844290658,0.010986984980905952,-0.010986984980905952
top,88,ACH-000917,TE4_OESOPHAGUS,Esophagus/Stomach,Male,0.761260092272203,-0.10705053703719575,0.10705053703719575
top,89,ACH-000792,BFTC909_KIDNEY,Kidney,Male,0.7606257208765859,-0.15278753719488994,0.15278753719488994
top,90,ACH-000404,K029AX_SKIN,Skin,Unknown,0.7547433679354094,-0.12294314325457167,0.12294314325457167
top,91,ACH-000832,CAL27_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.7519535755478662,-0.05003845351279917,0.05003845351279917
top,92,ACH-000625,HEP3B217_LIVER,Liver,Male,0.7502198673587082,,
top,93,ACH-000343,NCIH522_LUNG,Lung,Male,0.7480211937716263,-0.3888760354886959,0.3888760354886959
top,94,ACH-001306,8305C_THYROID,Thyroid,Female,0.7475778546712804,-0.10841991571068285,0.10841991571068285
top,95,ACH-000750,LOXIMVI_SKIN,Skin,Male,0.745242214532872,,
top,96,ACH-000060,PANC1005_PANCREAS,Pancreas,Male,0.7421712802768166,-0.009994670274099629,0.009994670274099629
bottom,1,ACH-000429,A704_KIDNEY,Kidney,Male,0.0019067185697808,,
bottom,2,ACH-000466,SNU216_STOMACH,Esophagus/Stomach,Female,0.0034602076124567,-0.07439377651435639,0.07439377651435639
bottom,3,ACH-000270,HPAC_PANCREAS,Pancreas,Female,0.0067618223760092,,
bottom,4,ACH-000399,NCIH2196_LUNG,Lung,Male,0.0121107266435986,,
bottom,5,ACH-001321,TT_THYROID,Thyroid,Female,0.0168252595155709,,
bottom,6,ACH-000537,SNU761_LIVER,Liver,Male,0.0186959342560553,-0.01214974550525369,0.01214974550525369
bottom,7,ACH-000823,KYSE140_OESOPHAGUS,Esophagus/Stomach,Male,0.0221921856978085,-0.1930569980874953,0.1930569980874953
bottom,8,ACH-000093,PANC0504_PANCREAS,Pancreas,Female,0.0242214532871972,0.12844604378533508,-0.12844604378533508
bottom,9,ACH-000289,SNU466_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,Male,0.0326268742791234,,
bottom,10,ACH-000936,EFO27_OVARY,Ovary/Fallopian Tube,Female,0.034515570934256,0.11487108891564066,-0.11487108891564066
bottom,11,ACH-000888,NCIH1793_LUNG,Lung,Female,0.0363862456747404,0.00472967591058316,-0.00472967591058316
bottom,12,ACH-000826,CAL12T_LUNG,Lung,Male,0.0389633794694348,0.03804665475710716,-0.03804665475710716
bottom,13,ACH-000549,SNU1076_UPPER_AERODIGESTIVE_TRACT,Head and Neck,Male,0.0393706747404844,-0.09720203813934505,0.09720203813934505
bottom,14,ACH-000222,ASPC1_PANCREAS,Pancreas,Female,0.039475201845444,0.07042091866926276,-0.07042091866926276
bottom,15,ACH-000480,HUH7_LIVER,Liver,Male,0.0422649942329873,-0.04412766040197689,0.04412766040197689
bottom,16,ACH-000740,A253_SALIVARY_GLAND,Head and Neck,Male,0.0449826989619377,-0.07364760984543006,0.07364760984543006
