action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,_compound,_role,_axis_or_class,_filter_text,_normal_hits,_viability_hits,_cancer_hits,standard_value_uM,toxicity_bucket,curation_decision,curation_tier,curation_reason,normal_keyword_hits,viability_keyword_hits_curated,exclude_keyword_hits,activity_signal_curated
,,29221854,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_units': 'mg.kg-1', 'standard_value': '10.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg', 'value': '10.0'}, {'comments': None, 'relation': None, 'result_flag': 0, 'standard_relation': None, 'standard_text_value': 'PO', 'standard_type': 'ROUTE', 'standard_units': None, 'standard_value': None, 'text_value': 'PO', 'type': 'ROUTE', 'units': None, 'value': None}]",CHEMBL6125391,"Toxicity in BALB/c mouse assessed as histopathological lesions in lung at 10 mg/kg, po by H and E staining based analysis",T,,,BAO_0000375,BAO_0000218,organism-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL6121038,J Med Chem,2025.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,,4691480,,1,0,,Not toxic,Activity,,,,CHEMBL612558,,ADMET,,Non-toxic,,Activity,,,,,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,"toxicity in balb/c mouse assessed as histopathological lesions in lung at 10 mg/kg, po by h and e staining based analysis | t | activity |  | admet |  | organism-based format | chembl6121038",,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity,\bmouse\b,,,no_quantitative_value
,,29286068,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_units': 'microM', 'standard_value': '20.0', 'text_value': None, 'type': 'DOSE', 'units': 'microM', 'value': '20.0'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '48.0', 'text_value': None, 'type': 'TIME', 'units': 'hrs', 'value': '48.0'}]",CHEMBL6157897,Cytotoxicity against human HepG2 cells assessed as cell viability at 20 uM incubated for 48 hrs by MTT method relative to control,T,,,BAO_0001103,BAO_0000219,cell-based format,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,,,CHEMBL6153134,J Nat Prod,2025.0,,,CHEMBL384467,DEXAMETHASONE,CHEMBL384467,,0,http://qudt.org/vocab/unit#Percent,4703372,=,1,0,=,,Activity,%,,96.3,CHEMBL395,Homo sapiens,HepG2,9606,,,Activity,%,UO_0000187,,96.3,dexamethasone,repair_candidate_watchlist,glucocorticoid representative,cytotoxicity against human hepg2 cells assessed as cell viability at 20 um incubated for 48 hrs by mtt method relative to control | t | activity | = | hepg2 | homo sapiens | cell-based format | chembl6153134,,cytotoxic|cytotoxicity|cell viability|viability|mtt|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,cytotox|cell viability|\bviability\b|\bmtt\b,,no_quantitative_value
,,5317458,[],CHEMBL1697778,"Literature-mined compound from Fourches et al multi-species drug-induced liver injury (DILI) dataset, effect in humans",A,,,BAO_0000179,BAO_0000221,tissue-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL1697731,Chem Res Toxicol,2010.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,,1341244,,1,0,,no drug-induced liver injury reported,Hepatotoxicity,,,,CHEMBL1697861,,Hepatotoxicity,,no drug-induced liver injury reported,,Hepatotoxicity,,,,,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,"literature-mined compound from fourches et al multi-species drug-induced liver injury (dili) dataset, effect in humans | a | hepatotoxicity |  | hepatotoxicity |  | tissue-based format | chembl1697731",,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,,no_quantitative_value
,,5318409,[],CHEMBL1697779,"Literature-mined compound from Fourches et al multi-species drug-induced liver injury (DILI) dataset, effect in rodents",A,,,BAO_0000179,BAO_0000221,tissue-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL1697731,Chem Res Toxicol,2010.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,,1341244,,1,0,,drug-induced liver injury reported,Hepatotoxicity,,,,CHEMBL1697861,,Hepatotoxicity,,drug-induced liver injury reported,,Hepatotoxicity,,,,,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,"literature-mined compound from fourches et al multi-species drug-induced liver injury (dili) dataset, effect in rodents | a | hepatotoxicity |  | hepatotoxicity |  | tissue-based format | chembl1697731",,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,,no_quantitative_value
,,5319360,[],CHEMBL1697780,"Literature-mined compound from Fourches et al multi-species drug-induced liver injury (DILI) dataset, effect in non-rodents",A,,,BAO_0000179,BAO_0000221,tissue-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL1697731,Chem Res Toxicol,2010.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,,1341244,,1,0,,no drug-induced liver injury reported,Hepatotoxicity,,,,CHEMBL1697861,,Hepatotoxicity,,no drug-induced liver injury reported,,Hepatotoxicity,,,,,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,"literature-mined compound from fourches et al multi-species drug-induced liver injury (dili) dataset, effect in non-rodents | a | hepatotoxicity |  | hepatotoxicity |  | tissue-based format | chembl1697731",,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,,no_quantitative_value
,inconclusive,5667483,[],CHEMBL1738317,"PUBCHEM_BIOASSAY: qHTS screen for small molecules that induce genotoxicity in human embryonic kidney (HEK293T) cells expressing luciferase-tagged ELG1. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID493106, AID493143]",F,,,BAO_0000186,BAO_0000019,assay format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL1201862,,,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://www.openphacts.org/units/Nanomolar,1263351,,7,1,,,Potency,nM,,819.6,CHEMBL1741209,Homo sapiens,ATPase family AAA domain-containing protein 5,9606,,,Potency,uM,UO_0000065,,0.8196,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,"pubchem_bioassay: qhts screen for small molecules that induce genotoxicity in human embryonic kidney (hek293t) cells expressing luciferase-tagged elg1. (class of assay: confirmatory) [related pubchem assays (depositor defined):aid493106, aid493143] | f | potency |  | atpase family aaa domain-containing protein 5 | homo sapiens | assay format | chembl1201862",hek293,atp|toxicity,,0.8196,very_high_toxicity_signal_le_1uM,excluded,excluded,exclude_generic_pubchem_without_clear_normal_cell;exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,qhts|confirmatory,toxicity_signal
,,13798556,[],CHEMBL3039491,Inhibition of sodium fluorescein uptake in OATP1B3-transfected CHO cells at an equimolar substrate-inhibitor concentration of 10 uM,A,,,BAO_0000201,BAO_0000219,cell-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL3039007,Mol Pharmacol,2013.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://qudt.org/vocab/unit#Percent,1937911,=,1,1,=,,Inhibition,%,,91.1,CHEMBL1743121,Homo sapiens,Solute carrier organic anion transporter family member 1B3,9606,,,Inhibition,%,UO_0000187,,91.09653608,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,inhibition of sodium fluorescein uptake in oatp1b3-transfected cho cells at an equimolar substrate-inhibitor concentration of 10 um | a | inhibition | = | solute carrier organic anion transporter family member 1b3 | homo sapiens | cell-based format | chembl3039007,,atp,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,,no_quantitative_value
,,13800554,[],CHEMBL3039488,Inhibition of sodium fluorescein uptake in OATP1B1-transfected CHO cells at an equimolar substrate-inhibitor concentration of 10 uM,A,,,BAO_0000201,BAO_0000219,cell-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL3039007,Mol Pharmacol,2013.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://qudt.org/vocab/unit#Percent,1937911,=,1,1,=,,Inhibition,%,,93.94,CHEMBL1697668,Homo sapiens,Solute carrier organic anion transporter family member 1B1,9606,,,Inhibition,%,UO_0000187,,93.93691861,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,inhibition of sodium fluorescein uptake in oatp1b1-transfected cho cells at an equimolar substrate-inhibitor concentration of 10 um | a | inhibition | = | solute carrier organic anion transporter family member 1b1 | homo sapiens | cell-based format | chembl3039007,,atp,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity;exclude_no_clear_normal_like_cell_keyword,,,,no_quantitative_value
,,18827981,[],CHEMBL4303819,Inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (OD590nm) in Vero E6 cells infected with SARS-CoV-2 (strain BavPat1) at MOI 0.002 after 72hrs,F,,,BAO_0000179,BAO_0000218,organism-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL4303097,,2020.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,,3134523,=,52,0,=,,Inhibition index,,,0.145,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,Inhibition index,,,,0.144997459,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,inhibition of cell viability relative to arbidol control (inhibition index > 1 indicates higher activity) measured by fluorescence (od590nm) in vero e6 cells infected with sars-cov-2 (strain bavpat1) at moi 0.002 after 72hrs | f | inhibition index | = | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4303097,,cell viability|viability,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cell viability|\bviability\b,virus|sars|cov|coronavirus,no_quantitative_value
,,20148882,[],CHEMBL4513082,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL4495565,,2020.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://qudt.org/vocab/unit#Percent,3360956,=,52,1,=,,Inhibition,%,,-0.04,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,inhibition,%,UO_0000187,,-0.04,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | inhibition | = | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4495565,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_quantitative_value
,Average; N=2,20164181,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'Concentration', 'standard_units': 'uM', 'standard_value': '20.0', 'text_value': None, 'type': 'Concentration', 'units': 'uM', 'value': '20.0'}]",CHEMBL4296190,"Antifungal activity against Cryptococcus neoformans H99 ATCC 208821 (CO-ADD:FG_002); MIC in YNB media using NBS plates, by Resazurin OD(600-570)",F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL4513141,,,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://qudt.org/vocab/unit#Percent,3370196,=,40,1,=,,Inhibition,%,,-7.62,CHEMBL365,Cryptococcus neoformans,Cryptococcus neoformans,5207,,,Inhibition,%,UO_0000187,,-7.62,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,"antifungal activity against cryptococcus neoformans h99 atcc 208821 (co-add:fg_002); mic in ynb media using nbs plates, by resazurin od(600-570) | f | inhibition | = | cryptococcus neoformans | cryptococcus neoformans | organism-based format | chembl4513141",,resazurin,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,resazurin,fungal,no_quantitative_value
,,22072446,[],CHEMBL4513082,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000201,BAO_0000218,organism-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL4495565,,2020.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://qudt.org/vocab/unit#Percent,3360956,=,52,1,=,,Inhibition,%,,-0.04,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,inhibition,%,UO_0000187,,-0.04,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | inhibition | = | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4495565,,cytotoxic|cytotoxicity|toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_quantitative_value
,No. Measurements = 1,22084978,[],CHEMBL4651403,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL4651402,,2021.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://www.openphacts.org/units/Nanomolar,3491916,>,57,1,>,,IC50,nM,,20000.0,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,IC50,M,UO_0000065,,0.00002,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | ic50 | > | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4651402,,cytotoxic|cytotoxicity|toxicity,,20.0,moderate_toxicity_signal_le_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_toxicity_signal_or_lower_bound
,No. Measurements = 1,22084979,[],CHEMBL4651403,Antiviral activity determined as inhibition of SARS-CoV-2 induced cytotoxicity of VERO-6 cells at 10 uM after 48 hours exposure to 0.01 MOI SARS CoV-2 virus by high content imaging,F,,,BAO_0000190,BAO_0000218,organism-based format,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,,CHEMBL4651402,,2021.0,,,CHEMBL1091,HYDROCORTISONE ACETATE,CHEMBL1091,,0,http://www.openphacts.org/units/Nanomolar,3491916,<,57,1,>,,IC50,nM,,19952.62,CHEMBL4303835,Severe acute respiratory syndrome coronavirus 2,SARS-CoV-2,2697049,,,pIC50,,UO_0000065,,4.7,hydrocortisone acetate,repair_candidate_watchlist,glucocorticoid representative,antiviral activity determined as inhibition of sars-cov-2 induced cytotoxicity of vero-6 cells at 10 um after 48 hours exposure to 0.01 moi sars cov-2 virus by high content imaging | f | ic50 | > | sars-cov-2 | severe acute respiratory syndrome coronavirus 2 | organism-based format | chembl4651402,,cytotoxic|cytotoxicity|toxicity,,19.95262,moderate_toxicity_signal_le_50uM,excluded,excluded,exclude_pathogen_or_infection_context;exclude_no_clear_normal_like_cell_keyword,,cytotox,virus|viral|sars|cov|coronavirus|antiviral,no_toxicity_signal_or_lower_bound
,,208929,[],CHEMBL807575,Inhibition of concanavalin A stimulated rat splenocyte proliferation,F,,,BAO_0000188,BAO_0000019,assay format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1144889,J Med Chem,2003.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,7.71,0,http://www.openphacts.org/units/Nanomolar,3267,=,1,1,=,,EC50,nM,,19.6,CHEMBL3368,Rattus norvegicus,Glucocorticoid receptor,10116,,,EC50,nM,UO_0000065,,19.6,prednisolone,repair_candidate_watchlist,glucocorticoid representative,inhibition of concanavalin a stimulated rat splenocyte proliferation | f | ec50 | = | glucocorticoid receptor | rattus norvegicus | assay format | chembl1144889,,proliferation,,0.019600000000000003,very_high_toxicity_signal_le_1uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b,proliferation,,toxicity_signal
,,208930,[],CHEMBL807576,Inhibition of concanavalin A stimulated rat splenocyte proliferation compared to Dexamethasone,F,,,BAO_0000656,BAO_0000019,assay format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1144889,J Med Chem,2003.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,0,http://qudt.org/vocab/unit#Percent,3267,=,1,0,=,,Efficacy,%,,97.0,CHEMBL3368,Rattus norvegicus,Glucocorticoid receptor,10116,,,Efficacy,%,UO_0000187,,97.0,prednisolone,repair_candidate_watchlist,glucocorticoid representative,inhibition of concanavalin a stimulated rat splenocyte proliferation compared to dexamethasone | f | efficacy | = | glucocorticoid receptor | rattus norvegicus | assay format | chembl1144889,,proliferation,,,weak_or_low_toxicity_signal_gt_50uM,accepted,B_supportive_nonhuman_or_normal_like,accepted_normal_like_viability_assay,\brat\b,proliferation,,no_quantitative_value
,,208931,[],CHEMBL757205,Inhibition of concanavalin A stimulated T-cell proliferation in human PBMCs,F,,,BAO_0000188,BAO_0000019,assay format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1144889,J Med Chem,2003.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,7.60,0,http://www.openphacts.org/units/Nanomolar,3267,=,1,1,=,,EC50,nM,,25.0,CHEMBL2034,Homo sapiens,Glucocorticoid receptor,9606,,,EC50,nM,UO_0000065,,25.0,prednisolone,repair_candidate_watchlist,glucocorticoid representative,inhibition of concanavalin a stimulated t-cell proliferation in human pbmcs | f | ec50 | = | glucocorticoid receptor | homo sapiens | assay format | chembl1144889,pbmc,proliferation,,0.025,very_high_toxicity_signal_le_1uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,proliferation,,toxicity_signal
,,208932,[],CHEMBL763521,Inhibition of concanavalin A stimulated T-cell proliferation in human PBMCs compared to Dexamethasone,F,,,BAO_0000656,BAO_0000019,assay format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1144889,J Med Chem,2003.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,1,http://qudt.org/vocab/unit#Percent,3267,=,1,0,=,,Efficacy,%,,95.0,CHEMBL2034,Homo sapiens,Glucocorticoid receptor,9606,,,Efficacy,%,UO_0000187,,95.0,prednisolone,repair_candidate_watchlist,glucocorticoid representative,inhibition of concanavalin a stimulated t-cell proliferation in human pbmcs compared to dexamethasone | f | efficacy | = | glucocorticoid receptor | homo sapiens | assay format | chembl1144889,pbmc,proliferation,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_no_clear_normal_like_cell_keyword,,proliferation,,no_quantitative_value
,,345281,[],CHEMBL740424,"Acute lethal toxicity (peroral administration), determined by observing the mortality for 7 days after the administration in mouse",T,,,BAO_0000179,BAO_0000218,organism-based format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1126191,J Med Chem,1992.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,0,,180327,>,1,0,>,,MLD,mg kg-1,,300.0,CHEMBL375,Mus musculus,Mus musculus,10090,,,MLD,mg kg-1,UO_0000308,,300.0,prednisolone,repair_candidate_watchlist,glucocorticoid representative,"acute lethal toxicity (peroral administration), determined by observing the mortality for 7 days after the administration in mouse | t | mld | > | mus musculus | mus musculus | organism-based format | chembl1126191",,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity,\bmouse\b,,,no_quantitative_value
,,2150552,[],CHEMBL932415,Toxicity in Swiss-Webster mouse assessed as increase in body fat at 10 mg/kg after 28 days,T,,,BAO_0000375,BAO_0000218,organism-based format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1147082,Proc Natl Acad Sci U S A,2007.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,0,,709286,,1,0,,Toxic,Activity,,,,CHEMBL375,Mus musculus,Mus musculus,10090,Toxic,,Activity,,,,,prednisolone,repair_candidate_watchlist,glucocorticoid representative,toxicity in swiss-webster mouse assessed as increase in body fat at 10 mg/kg after 28 days | t | activity |  | mus musculus | mus musculus | organism-based format | chembl1147082,,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity,\bmouse\b,,,no_quantitative_value
,,2150553,[],CHEMBL932416,Toxicity in Swiss-Webster mouse assessed as increase in body fat at 30 mg/kg after 28 days,T,,,BAO_0000375,BAO_0000218,organism-based format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1147082,Proc Natl Acad Sci U S A,2007.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,0,,709286,,1,0,,Toxic,Activity,,,,CHEMBL375,Mus musculus,Mus musculus,10090,Toxic,,Activity,,,,,prednisolone,repair_candidate_watchlist,glucocorticoid representative,toxicity in swiss-webster mouse assessed as increase in body fat at 30 mg/kg after 28 days | t | activity |  | mus musculus | mus musculus | organism-based format | chembl1147082,,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity,\bmouse\b,,,no_quantitative_value
,,2150554,[],CHEMBL926976,Toxicity in Swiss-Webster mouse assessed as decrease in bone formation at 3 mg/kg after 28 days,T,,,BAO_0000375,BAO_0000218,organism-based format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1147082,Proc Natl Acad Sci U S A,2007.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,0,,709286,,1,0,,Toxic,Activity,,,,CHEMBL375,Mus musculus,Mus musculus,10090,Toxic,,Activity,,,,,prednisolone,repair_candidate_watchlist,glucocorticoid representative,toxicity in swiss-webster mouse assessed as decrease in bone formation at 3 mg/kg after 28 days | t | activity |  | mus musculus | mus musculus | organism-based format | chembl1147082,,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity,\bmouse\b,,,no_quantitative_value
,,2150556,[],CHEMBL926977,Toxicity in Swiss-Webster mouse assessed as decrease in bone formation at 10 mg/kg after 28 days,T,,,BAO_0000375,BAO_0000218,organism-based format,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,CHEMBL1147082,Proc Natl Acad Sci U S A,2007.0,,,CHEMBL131,PREDNISOLONE,CHEMBL131,,0,,709286,,1,0,,Toxic,Activity,,,,CHEMBL375,Mus musculus,Mus musculus,10090,Toxic,,Activity,,,,,prednisolone,repair_candidate_watchlist,glucocorticoid representative,toxicity in swiss-webster mouse assessed as decrease in bone formation at 10 mg/kg after 28 days | t | activity |  | mus musculus | mus musculus | organism-based format | chembl1147082,,toxicity,,,weak_or_low_toxicity_signal_gt_50uM,excluded,excluded,exclude_not_viability_or_cytotoxicity,\bmouse\b,,,no_quantitative_value
